Price,Beds,Baths,Sizes,Zipcode
356914,3,2,1768,74636
329609,3,2,1768,73170
373726,4,2,1989,74636
437395,3,2.5,2205,73170
407038,4,2,2188,73170
351188,4,2,1989,73099
426631,4,2.5,2402,73170
456051,3,3.5,2713,73078
313383,3,2,2136,73099
371196,4,2.5,2370,73099
282897,3,2,1586,73099
252706,3,2,1295,73099
379289,3,2,2327,73099
295766,3,2,1768,73099
254149,3,2,1385,73099
248000,3,2,1421,73099
236900,4,2,1713,73132
279343,3,2,1385,73078
372391,3,2,2136,74636
348565,3,2,1768,74636
334947,3,2,1586,74636
289858,3,2,1295,74636
319471,3,2,1682,73099
383994,3,2,2026,73170
294870,3,2,1234,74636
451657,3,2.5,2205,73170
333435,4,2,1813,73099
257738,3,2,1158,73078
317890,3,2,1682,73170
355697,4,2,1989,73099
267648,3,2,1295,73170
270688,3,2,1385,73170
262947,3,2,1158,73170
354011,4,2,1989,73012
452023,3,2.5,2483,73099
325375,3,2,1586,73099
317293,3,2,1813,73099
273960,4,2,1486,73099
340944,3,2,1601,74636
459777,3,3.5,2713,73170
421079,4,2,2327,73012
395066,3,2,2123,73170
446046,3,2.5,2205,73078
370529,3,2,1907,73078
303666,3,2,1601,73170
328290,3,2,1768,73170
314809,3,2,1555,73099
242512,3,2,1158,73099
310645,4,2,1989,73099
280893,3,2,1267,73099
315962,3,2,2136,73099
261438,3,2,1385,73099
252757,3,2,1385,73099
267999,3,2,1464,73099
280052,3,2,1682,73099
254103,3,2,1295,73099
277656,3,2,1601,73099
310850,4,2,1850,73142
336490,3,2,1750,73099
428340,4,3,2300,73099
420340,4,2,2200,73099
262990,3,2,1575,73064
276990,4,2,1796,73064
271990,4,2,1665,73064
292990,4,3,2042,73064
308490,4,3,2174,73064
266990,4,2,1614,73064
289990,4,2,2031,73064
282990,4,2,1831,73064
257990,3,2,1412,73064
325990,4,2,2031,73142
319990,4,3,2042,73142
305490,4,2,1810,73142
282990,4,3,2042,73078
310990,4,2,1881,73142
363990,5,3,2608,73142
330990,4,2,2152,73142
325990,4,2,2100,73142
309990,3,2,1788,73099
346990,4,2,2326,73142
174900,3,2,1320,73112
289000,3,2,1554,73012
199500,3,1.5,1260,73120
382840,4,2.5,1950,73099
396840,4,2.5,2000,73099
390340,4,2.5,2000,73099
365340,4,2,1850,73099
421840,4,3,2350,73099
408340,4,2,2200,73099
386340,3,2,1970,73099
411340,4,3,2250,73099
416340,4,3,2300,73099
382840,4,2.5,1950,73099
367840,4,2.5,1850,73099
411340,4,3,2250,73099
387840,4,2,2000,73099
331490,4,2,1700,73099
408340,4,2,2200,73099
371340,4,2,1900,73099
416340,4,3,2300,73099
401340,4,2,2100,73099
323490,3,2,1625,73099
426840,4,3,2400,73099
326490,4,2,1650,73099
380340,4,2,1950,73099
371340,4,2,1900,73099
455840,4,3,2640,73099
313490,3,2,1550,73099
431840,4,3,2450,73099
415840,4,2.5,2250,73099
265990,3,2,1400,73099
427840,4,3,2450,73099
383340,4,2,1950,73099
362840,4,2,1900,73099
354340,4,2,1800,73099
413340,4,3,2350,73099
327840,3,2,1750,73099
239990,3,2,1200,73099
253990,3,2,1300,73099
263990,3,2,1300,73013
249990,3,2,1200,73013
392340,3,2,1970,73099
371340,4,2,1850,73099
399840,4,2,1850,73012
315490,3,2,1550,73099
335490,4,2,1700,73099
